2022-23 Social Accounting Matrix for India,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,atax,dtax,mtax,stax,s-i,dstk,row,total
Commodities - Processed foods,cfood,,,,,,,,,,,,,,458.1728487,32.40725659,57.91252634,,8.443853943,,4207.186,242.0303524,19.99049822,6.093374628,424.6007552,2.792521262,1.536127845,1.085661375,2.820185528,,,,11.24188346,,140.0916825,,,,8.800241277,753.8804031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686.057495,2181.208159,2345.492325,2488.547201,1775.931223,180.356987,385.99548,725.8460789,1383.292869,3318.942408,,,,,,,93.6758434,1842.451281,24786.88352
Commodities - Beverage and tobacco,cbeve,,,,,,,,,,,,,,,,,,,,2.267738689,99.15758486,,,16.64543075,0.07563691,,,,,,,,,7.565038355,,,,,48.33438289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.46305947,127.0654157,178.429101,263.8093015,262.4297929,7.620769076,19.30358929,42.36548417,106.1614222,410.2181927,,,,,,,4.530953584,33.60863033,1721.051524
"Commodities - Textiles, clothing and footwear",ctext,,,,,,,,,,,,,,,,,20.31032532,0.856755398,7.445952248,70.06620799,4.720759717,4944.519775,11.21473968,166.8273438,2.52174191,4.329692108,69.23012186,143.6091555,112.0296654,3.646657186,,27.36622276,105.3994923,0.100236625,13.87735663,3.492566425,8.818716729,29.10994519,16.20917621,5.504001516,0.986105101,54.56178593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.1651837,1198.851525,1392.505836,1585.529625,1305.906534,82.53355715,187.0050035,358.1632964,710.380695,1978.002193,,,,,,,28.63867825,3389.092594,18943.52922
Commodities - Wood and paper products,cwood,,,,,,,,,,,,,,77.96884232,16.94649793,24.60459506,49.65710642,2.918879286,39.31064838,71.70878118,17.00601351,50.85478285,766.0368641,266.8763989,75.44340314,19.55917816,59.31433579,406.2698683,128.3737946,8.977417875,215.9931246,901.9883303,169.9487677,,874.3314709,334.2283686,68.18008542,241.818194,4.923498464,444.0138181,15.54450222,29.46981829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3668669,144.0191087,146.7671816,151.7934111,109.6131297,10.28524227,20.98815073,37.80708925,73.51841851,209.7301672,,,,,,,247.3699135,300.0494926,6963.575558
Commodities - Chemicals and petroleum,cchem,40.24388015,188.2945453,136.4912493,60.71701879,81.75710486,37.46011813,167.5962611,88.83466922,5.204419866,69.10252656,226.1409354,13.88632514,81.64855271,184.5240353,39.38533395,57.19166551,83.56163032,26.72606956,313.4472853,463.4074774,150.4522365,1736.963295,407.6615946,12565.89621,711.9605934,5371.288598,1495.891146,1834.60961,2079.406593,914.324012,3565.995366,2666.259192,2739.857253,87.43670752,174.7816172,,472.1877759,1032.271428,62.15354945,76.08546434,687.8699766,213.3232525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.5057477,1143.536797,1498.169566,1948.006353,1910.331732,82.18863361,205.8451162,444.6694356,973.1022106,3275.581074,,,,,,0.108804488,774.609721,13641.72169,68075.67345
Commodities - Non-metal minerals,cnmet,,,,,,,,,,,,,,,,,,,,33.17820356,105.140648,2.387280002,1.494374704,131.2616326,659.2074742,24.74467066,152.7851699,41.89581522,216.5921594,,6124.813472,,,0.159767578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41594841,18.8378809,25.93063017,35.01233478,39.35340599,1.117673764,3.036111999,6.762446053,15.43015789,59.21197956,,,,,,,110.0923347,489.592162,8309.453734
Commodities - Metals and metal products,cmetl,,,,,,,,,,,,,,,,,109.878439,6.545623865,153.509335,94.20267436,52.84717665,25.12248247,41.43554497,375.3232981,123.8910945,12754.21453,5574.975072,1086.493634,881.5205002,656.9458145,14376.22865,499.8580283,6.34670609,0.106602811,109.2773696,,1.173119143,71.36145766,10.66413486,43.16900113,0.169644989,50.46230349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38164231,28.50533553,32.85942234,38.80816353,33.3545537,1.795969106,3.991574388,7.88449565,16.21436111,49.22469356,,,,,,467.3304457,220.458906,3875.556857,41904.08865
"Commodities - Machinery, equipment and vehicles",cmach,23.85080591,110.8785746,80.6326985,35.99968587,48.48579957,22.20856975,98.95794455,52.52153854,3.087055169,40.96114047,133.477672,8.241980563,48.33507749,12.77850358,2.71829351,3.950244965,75.35330689,78.60326208,72.63206145,13.13087805,,5.513359964,3.58732558,9.344190974,12.16193492,465.818141,11283.40753,102.4267281,313.4830358,5.963626321,1337.795537,2005.2841,490.7509116,2.271386646,46.87276213,103.9309341,54.05725701,331.6676869,273.3860968,17.76824341,,50.65734896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.7554833,297.8099493,444.9311878,672.3461613,1230.745438,16.515864,47.36583851,108.8185453,269.4064097,1986.483248,,,,,,30404.69244,207.1089444,7584.813408,61335.74615
Commodities - Other manufacturing,coman,,,,,,,,,,,,,,,,,148.5908809,,199.914292,165.7618222,8.44926652,396.9025373,176.9903249,361.2710802,87.16111389,641.3523574,409.297908,2698.187599,75.72869976,4.71550522,2918.014746,78.48667306,120.9239373,52.62583645,27.41912718,189.834657,52.78113974,136.6616588,37.23959176,22.83851415,0.086351588,28.87835708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8863655,305.8374528,422.774187,592.471171,842.6585922,15.5080168,40.08756243,91.97295442,229.0076651,1178.161242,,,,,,3426.818146,139.4154885,3446.015943,19958.72876
"Commodities - Electricity, gas and steam",celec,7.686346361,35.68219508,25.94651432,11.59557932,15.63455819,7.154158774,31.81910633,16.90789999,0.993822545,13.2270063,42.98442761,2.657179015,15.56573266,,,,1.732314502,11.9621178,213.856165,342.6775759,30.04233509,282.34798,126.45503,1087.831228,287.5644428,1006.96631,274.6416943,262.8518452,,,2288.660714,111.5746846,550.0181472,52.17030691,24.85496861,619.488154,,9.472657519,86.49782004,80.69598792,109.0580515,81.01433256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.1331987,251.9438779,308.0649326,368.5692207,290.1562512,33.88775853,78.44631255,152.1737501,294.0061174,746.4983834,,,,,,,,,10873.16919
Commodities - Water supply and sewage,cwatr,3.992237276,18.62773155,13.50130575,6.017362342,8.119452606,3.713200357,16.55406203,8.794415996,0.515270267,6.881127345,22.40158649,1.378600666,8.088587065,,,,1.046697546,0.087826975,82.8624736,1.81932291,4.845691069,0.105929261,,83.04840695,0.476525711,,,,16.9428026,31.36725774,973.0426145,0.542130111,311.8674063,3.605071971,15.75581497,270.7355149,,0.523177392,238.7229855,19.96747865,15.74736069,0.052012867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.41061728,41.26145386,57.6066676,80.49792721,71.99067304,5.91715603,15.50196007,33.22460859,73.93506947,261.9475419,556.53732,,,,,,,,3414.580437
Commodities - Construction,ccons,,,,,,,,,,,,,,1.971473142,0.419350375,0.609429406,16.62376803,31.29896226,680.1229159,164.8722201,32.07988196,336.559704,105.9397747,1127.696718,158.7564162,350.6721076,646.8152366,375.3124083,262.1516256,581.6657356,,296.1270876,1881.372087,213.6648933,374.1645942,167.0528183,535.0336803,2600.650306,200.3087333,48.12111563,348.3123795,70.9532682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.11387981,46.53809067,78.32334254,137.9078168,170.5303874,34.65303872,77.0816332,152.1169748,311.9095699,979.6975924,1011.169629,,,,,47136.70794,295.9147664,469.6420268,62538.63538
Commodities - Wholesale and retail trade,ctrad,7.179014182,33.35368233,24.24109941,10.82878202,14.60226367,6.681242033,29.72699947,15.79551885,0.927977947,12.35689231,40.16856072,2.481363597,14.53946932,87.49811575,18.64716093,27.08897237,1.902907133,5.747512474,8.05411557,37.83677331,14.46025259,35.44658452,14.20936382,340.9593967,21.64316284,32.22470099,115.9338992,30.33082198,18.95579235,35.01750378,,9.57856532,78.80931078,69.56965562,43.35776846,2.846310343,2.741735932,29.67678466,,14.84302146,2.097287675,16.09188087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34325.66008,,,,,,,29.0150947,51.33617397,69.50477937,98.75679305,173.4252631,2.528175582,5.959730669,14.27183009,30.9573858,138.7426065,,,,,,,,19.93672286,36288.54686
Commodities - Transportation and storage,ctran,,,,,,,,,,,,,,,,,33.40429246,23.80442687,126.4185497,70.47428106,4.5118717,8.977391896,,,,,,,56.97604323,61.34429176,,370.7378791,1319.493896,159.3386898,199.6002501,578.5541085,6.880367348,1079.276074,269.0724621,92.33347749,69.8501367,21.5075227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14889.60183,,,,,,,407.3953355,589.3188686,775.8413,1062.153507,1197.32952,40.571093,104.92415,220.985452,497.1012941,2004.644705,,,,,,,,646.558423,26988.98149
Commodities - Accommodation and food services,chotl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.962631001,,,,344.5100115,,309.2362701,856.0710451,14.7040345,258.3198291,110.9620674,33.54691874,52.29505178,176.5641047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.7690541,270.8011064,322.3597159,398.0817499,502.6451486,10.81125541,38.57315792,89.44877969,127.0038081,892.8844619,,,,,,,,2607.077345,7541.627547
Commodities - Information and communication,ccomm,,,,,,,,,,,,,,,,,3.673409342,,1.79448801,,,,,,,,,,42.45168041,3.355478698,,57.33774108,2206.410724,310.5208901,241.828048,783.9151498,,1430.705905,72.39235469,273.2970678,531.7816976,267.2197064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1816996,463.0086069,560.704863,668.6531403,525.2973768,43.64006233,101.1404956,207.1754884,427.4161042,1168.110746,,,,,,,,452.8205694,11185.83349
Commodities - Finance and insurance,cfsrv,41.35113296,192.2960161,140.1489139,62.52638163,83.94751914,38.55942522,172.3387669,91.21708388,5.371609966,70.59211623,231.3432521,14.28525569,83.92224797,12.56971538,2.673819528,3.885620787,,6.562955618,178.3477535,161.7656796,59.1207835,261.08944,217.4450622,2856.393596,195.9221755,388.9753464,907.1365673,386.1459199,422.9402417,75.26205676,737.4432418,705.462079,1335.479103,112.6109833,572.3342607,191.9927813,213.9591059,1634.350086,,300.4728973,93.24832265,174.2706405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.42779728,163.8269539,275.786898,485.5574257,600.2652037,121.9206142,271.1986457,535.1878093,1097.37841,3446.192134,,,,,,,,1016.627788,21545.12964
Commodities - Real estate activities,creal,,,,,,,,,,,,,,,,,,0.416017787,4.640531702,0.811233116,,19.21132684,,,,38.42514096,,,9.522705715,4.226312617,,150.012335,159.5452867,129.4808537,223.943633,,21.41068499,488.847653,,39.07427672,70.22150259,78.55072453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.2565119,367.6290956,618.7228001,1095.809941,1423.448777,264.8557017,596.4601867,1197.591601,2530.884356,8652.207461,,,,,,,,,18397.20665
Commodities - Business services,cbsrv,,,,,,,,,,,,,,,,,,11.93568573,941.2785816,18.39249904,1.334399601,23.67697616,2.01346012,134.7860028,26.89406371,535.0760597,30.23871981,23.95819788,420.3288406,91.96609963,4081.881845,707.0695658,1270.165192,445.3870874,2245.316694,892.5372143,396.8811569,1574.844485,53.25670036,1004.593598,260.9006434,309.9292055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1119515,166.3468587,236.7847959,400.5060448,641.5607554,58.96561948,133.7595046,265.94847,547.678039,1913.555257,,,,,,8184.803518,,18188.36139,46326.02518
Commodities - Public administration,cpadm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19307.02305,,,,,,,84.11513865,19391.13819
Commodities - Education,ceduc,,,,,,,,,,,,,,,,,,,0.104309662,,,10.98258781,,,,,35.56091591,,1.621001998,,,17.20113999,0.505091452,0.229334376,171.0648879,718.8182568,,314.4958997,,28.23473738,41.97064427,51.79865541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0109783,402.8104951,554.7454961,839.7378106,1171.69836,33.04865034,99.83090043,242.4298512,633.6575958,3126.392063,6116.175595,,,,,,,23.69249522,14875.81775
Commodities - Health and social work,cheal,,,,,,,,,,,,,,,,,,,,,,11.97363537,,137.8570397,,27.95512486,137.4739192,4.647349978,31.27200265,,,,83.9946739,,73.99941011,30.01951233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2636072,263.4761659,432.9217164,745.8706591,1400.519332,14.81402031,43.38722684,109.9862568,265.7940948,1407.755183,1745.308631,,,,,,,21.57435766,7119.863919
Commodities - Other services,cosrv,12.95772304,59.83185363,43.66278777,19.56802926,26.35832471,12.07048346,53.56185414,28.46368346,1.678859858,22.25265427,72.20405523,4.484591595,26.23000944,1.299656521,0.276493966,0.401819439,32.65143535,71.68856537,134.0343949,1.851781178,0.366329386,3.908900341,0.627773075,2.719450599,1.806883212,2.812837128,14.08086341,3.825938953,7.450450672,19.7066823,10.86913385,36.15224013,101.187905,56.48561884,258.8941116,12.2136727,0.781245743,431.3562846,,50.35910945,120.0355361,51.5287709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.2497646,441.7691102,569.6393098,711.8718378,715.3469498,26.49118398,68.61410896,149.1828165,334.6397769,1889.243269,100.0123107,,,,,134.4151332,,1154.920793,8409.09516
Transaction costs,trc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.367054,723.7350349,620.1016249,271.518842,486.6387791,308.9176507,1030.229938,534.4313165,35.82947109,235.2543394,1311.640134,88.07220381,1051.936415,1188.16066,519.389144,751.0511235,764.1047056,946.0415361,2588.030889,3111.819017,214.4268886,2847.937777,1167.540831,10376.21636,1188.803896,4730.404166,9355.97316,2556.688951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49215.26191
Factors - Labor - Low (not finished primary schooling),flab-n,63.23858,294.2742954,211.8305195,117.8022986,186.6498149,67.6389604,211.267045,78.5016702,9.306829955,116.2596768,187.1773835,29.0917061,220.7744181,285.2182076,26.9452941,68.01079192,41.68643185,133.3486864,249.4824783,96.06082878,7.640096102,149.7180071,41.48695758,104.377864,157.9659578,127.9167018,43.59360991,53.58936045,53.4140387,61.86270493,4791.098309,342.3699317,260.7611508,85.02309015,2.582161791,14.3856228,42.5133867,149.1155257,366.5196262,69.35548391,31.36076614,167.9783088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9323166,9880.126896
"Factors - Labor - Medium (finished primary, but not finished secondary schooling)",flab-p,48.49871725,264.1640301,175.934191,73.8795969,159.5301148,71.35327824,219.4699395,95.78961636,7.194859915,86.62559678,243.3757264,17.66342278,178.3999348,128.9397175,50.69531931,46.82945488,69.47950333,127.5424833,416.5109214,196.3524576,21.88859351,431.1769055,120.9658138,480.1064931,181.3279289,450.6549773,323.1333597,274.4034148,246.8551606,110.0663314,5884.924495,1149.686546,1019.077439,252.402705,38.76671533,231.1623752,680.5760859,825.4988061,1533.766912,224.1153038,180.9622202,606.7116913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.3654814,18057.82464
Factors - Labor - High (finished secondary and/or tertiary schooling),flab-s,39.39735756,185.6969456,161.5646814,73.11925606,116.1256471,50.37330093,156.9119472,107.4324948,4.302033753,79.1388236,303.4392645,7.381966128,154.4965849,88.73567508,29.63768699,24.91839648,77.50625841,90.31368634,695.335848,410.6267989,88.10103782,576.1634965,190.9556847,1824.535695,217.0826271,1134.470445,1671.197465,290.1635345,1347.162156,169.3708976,3860.420571,2306.191046,2159.866254,464.3096151,1746.497551,4683.50691,4693.819389,7287.477661,11186.92416,6862.444323,2373.349206,1244.9909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.5814229,59603.0367
Factors - Agricultural land,flnd,398.2206545,1773.797632,1425.985919,671.7472965,1038.729102,571.5145902,1624.100602,761.9601961,55.04059621,569.4272961,2100.24168,122.6433009,1536.856613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12650.26548
Factors - Capital,fcap,185.7517822,1160.984655,756.3296782,362.1990266,712.5729089,165.6351062,745.0744126,347.5317902,27.26070896,436.0620028,766.4194228,85.57909331,1841.537351,8839.974845,1773.194668,2240.088251,3404.955048,2842.324521,3564.308561,1867.679433,314.0662685,3097.561244,973.1050658,6473.201835,1505.057176,4353.868849,5452.587523,1607.709133,3504.532204,604.1545286,7186.408306,22272.94299,8044.496805,1567.866608,2766.128811,9480.698705,10756.44619,15870.61691,1828.514615,3891.76928,1784.833287,1878.416639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.669001,149031.1152
Enterprises,ent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122868.6487,,,,,,,,,,,,17643.3923,,,,,,,263.9563704,140775.9973
Households - Rural (quintile 1),hhd-r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435.718312,2084.057296,2002.40998,1841.80834,1582.409978,4302.852572,,,,,,,,,,,357.1472477,,,,,,,319.677124,13926.08085
Households - Rural (quintile 2),hhd-r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.368644,2486.044795,3288.435822,2395.403202,2427.535933,6328.764388,,,,,,,,,,,543.2839091,,,,,,,468.908834,19438.74553
Households - Rural (quintile 3),hhd-r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.09012,2634.237359,4101.352459,2511.155812,3896.083392,8072.513647,,,,,,,,,,,672.7043715,,,,,,,501.0423859,23681.17955
Households - Rural (quintile 4),hhd-r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779.617851,2307.363598,4711.244921,2896.250553,8043.484788,9574.234912,,,,,,,,,,,813.7664534,,,,,,,468.7890215,30594.7521
